date,date,prcp
2017-06-08,2017-06-08,
2017-06-09,2017-06-09,
2017-06-13,2017-06-13,
2017-06-14,2017-06-14,
2017-06-15,2017-06-15,
2017-06-16,2017-06-16,
2017-06-19,2017-06-19,
2017-06-20,2017-06-20,
2017-06-21,2017-06-21,
2017-06-22,2017-06-22,0.0
2017-06-23,2017-06-23,0.0
2017-06-26,2017-06-26,
2017-06-27,2017-06-27,0.0
2017-06-28,2017-06-28,0.0
2017-06-29,2017-06-29,0.0
2017-06-30,2017-06-30,0.12
2010-06-01,2010-06-01,
2010-06-02,2010-06-02,0.03
2010-06-03,2010-06-03,0.0
2010-06-04,2010-06-04,0.0
2010-06-05,2010-06-05,0.0
2010-06-06,2010-06-06,0.0
2010-06-09,2010-06-09,
2010-06-10,2010-06-10,0.0
2010-06-11,2010-06-11,0.0
2010-06-12,2010-06-12,0.0
2010-06-13,2010-06-13,0.01
2010-06-15,2010-06-15,
2010-06-17,2010-06-17,0.0
2010-06-18,2010-06-18,0.3
2010-06-19,2010-06-19,0.02
2010-06-20,2010-06-20,0.03
2010-06-22,2010-06-22,
2010-06-23,2010-06-23,0.11
2010-06-24,2010-06-24,0.28
2010-06-25,2010-06-25,0.3
2010-06-28,2010-06-28,
2010-06-29,2010-06-29,0.1
2010-06-30,2010-06-30,0.04
2011-06-08,2011-06-08,
2011-06-09,2011-06-09,0.04
2011-06-12,2011-06-12,
2011-06-13,2011-06-13,0.08
2011-06-14,2011-06-14,0.09
2011-06-15,2011-06-15,0.06
2011-06-16,2011-06-16,0.07
2011-06-20,2011-06-20,
2011-06-21,2011-06-21,0.05
2011-06-22,2011-06-22,0.82
2012-06-01,2012-06-01,0.03
2012-06-14,2012-06-14,
2012-06-21,2012-06-21,
2012-06-26,2012-06-26,
2012-06-29,2012-06-29,
2010-06-01,2010-06-01,0.03
2010-06-02,2010-06-02,0.0
2010-06-03,2010-06-03,0.0
2010-06-04,2010-06-04,0.0
2010-06-05,2010-06-05,0.0
2010-06-06,2010-06-06,0.0
2010-06-07,2010-06-07,0.0
2010-06-08,2010-06-08,0.01
2010-06-09,2010-06-09,0.0
2010-06-10,2010-06-10,0.0
2010-06-11,2010-06-11,0.0
2010-06-12,2010-06-12,0.0
2010-06-13,2010-06-13,0.0
2010-06-14,2010-06-14,0.0
2010-06-15,2010-06-15,0.0
2010-06-16,2010-06-16,0.0
2010-06-17,2010-06-17,0.0
2010-06-18,2010-06-18,0.14
2010-06-19,2010-06-19,0.0
2010-06-20,2010-06-20,0.0
2010-06-21,2010-06-21,0.0
2010-06-22,2010-06-22,0.0
2010-06-23,2010-06-23,0.0
2010-06-24,2010-06-24,0.0
2010-06-25,2010-06-25,0.08
2010-06-26,2010-06-26,0.08
2010-06-28,2010-06-28,0.0
2010-06-29,2010-06-29,0.0
2010-06-30,2010-06-30,0.0
2011-06-01,2011-06-01,0.15
2011-06-02,2011-06-02,0.01
2011-06-03,2011-06-03,0.09
2011-06-04,2011-06-04,0.51
2011-06-05,2011-06-05,0.25
2011-06-06,2011-06-06,0.03
2011-06-07,2011-06-07,0.03
2011-06-08,2011-06-08,0.0
2011-06-09,2011-06-09,0.0
2011-06-10,2011-06-10,0.0
2011-06-11,2011-06-11,0.0
2011-06-12,2011-06-12,0.09
2011-06-13,2011-06-13,0.0
2011-06-14,2011-06-14,0.0
2011-06-15,2011-06-15,0.0
2011-06-16,2011-06-16,0.09
2011-06-17,2011-06-17,0.0
2011-06-18,2011-06-18,0.0
2011-06-19,2011-06-19,0.17
2011-06-20,2011-06-20,0.14
2011-06-21,2011-06-21,0.38
2011-06-22,2011-06-22,0.17
2011-06-23,2011-06-23,0.05
2011-06-24,2011-06-24,0.03
2011-06-25,2011-06-25,0.0
2011-06-26,2011-06-26,0.12
2011-06-27,2011-06-27,0.02
2011-06-28,2011-06-28,0.02
2011-06-29,2011-06-29,0.0
2011-06-30,2011-06-30,0.0
2012-06-01,2012-06-01,0.0
2012-06-02,2012-06-02,0.0
2012-06-03,2012-06-03,0.0
2012-06-04,2012-06-04,0.0
2012-06-05,2012-06-05,0.0
2012-06-06,2012-06-06,0.12
2012-06-07,2012-06-07,0.0
2012-06-08,2012-06-08,0.0
2012-06-09,2012-06-09,0.0
2012-06-10,2012-06-10,0.0
2012-06-11,2012-06-11,0.0
2012-06-12,2012-06-12,0.01
2012-06-13,2012-06-13,0.01
2012-06-14,2012-06-14,0.0
2012-06-15,2012-06-15,0.0
2012-06-16,2012-06-16,0.0
2012-06-17,2012-06-17,0.0
2012-06-18,2012-06-18,0.0
2012-06-19,2012-06-19,0.25
2012-06-20,2012-06-20,0.25
2012-06-21,2012-06-21,0.0
2012-06-22,2012-06-22,0.0
2012-06-23,2012-06-23,0.1
2012-06-24,2012-06-24,0.0
2012-06-25,2012-06-25,0.51
2012-06-26,2012-06-26,0.19
2012-06-27,2012-06-27,0.15
2012-06-28,2012-06-28,0.0
2012-06-29,2012-06-29,0.06
2012-06-30,2012-06-30,0.0
2013-06-01,2013-06-01,0.0
2013-06-02,2013-06-02,0.08
2013-06-03,2013-06-03,0.02
2013-06-04,2013-06-04,0.0
2013-06-05,2013-06-05,0.0
2013-06-06,2013-06-06,0.0
2013-06-07,2013-06-07,0.07
2013-06-08,2013-06-08,0.0
2013-06-09,2013-06-09,0.0
2013-06-10,2013-06-10,0.0
2013-06-11,2013-06-11,0.0
2013-06-12,2013-06-12,0.0
2013-06-13,2013-06-13,0.0
2013-06-14,2013-06-14,0.28
2013-06-15,2013-06-15,0.0
2013-06-16,2013-06-16,0.0
2013-06-17,2013-06-17,0.0
2013-06-18,2013-06-18,0.0
2013-06-19,2013-06-19,0.0
2013-06-20,2013-06-20,0.07
2013-06-21,2013-06-21,0.32
2013-06-22,2013-06-22,0.13
2013-06-23,2013-06-23,0.08
2013-06-24,2013-06-24,0.01
2013-06-25,2013-06-25,0.18
2013-06-26,2013-06-26,0.42
2013-06-27,2013-06-27,0.02
2013-06-29,2013-06-29,0.05
2013-06-30,2013-06-30,0.0
2014-06-01,2014-06-01,0.0
2014-06-02,2014-06-02,0.1
2014-06-04,2014-06-04,
2014-06-05,2014-06-05,0.0
2014-06-06,2014-06-06,0.0
2014-06-07,2014-06-07,0.0
2014-06-08,2014-06-08,0.0
2014-06-09,2014-06-09,0.0
2014-06-10,2014-06-10,0.0
2014-06-11,2014-06-11,0.13
2014-06-12,2014-06-12,0.0
2014-06-13,2014-06-13,0.0
2014-06-14,2014-06-14,0.0
2014-06-15,2014-06-15,0.0
2014-06-16,2014-06-16,0.0
2014-06-18,2014-06-18,
2014-06-19,2014-06-19,0.0
2014-06-20,2014-06-20,0.51
2014-06-21,2014-06-21,0.0
2014-06-22,2014-06-22,0.01
2014-06-23,2014-06-23,0.23
2014-06-24,2014-06-24,0.01
2014-06-25,2014-06-25,0.07
2014-06-26,2014-06-26,0.1
2014-06-28,2014-06-28,
2014-06-29,2014-06-29,0.01
2014-06-30,2014-06-30,0.07
2015-06-01,2015-06-01,0.13
2015-06-02,2015-06-02,0.0
2015-06-03,2015-06-03,0.0
2015-06-04,2015-06-04,0.07
2015-06-05,2015-06-05,0.01
2015-06-06,2015-06-06,0.0
2015-06-07,2015-06-07,0.0
2015-06-08,2015-06-08,0.01
2015-06-09,2015-06-09,0.01
2015-06-10,2015-06-10,0.0
2015-06-11,2015-06-11,0.0
2015-06-12,2015-06-12,0.0
2015-06-13,2015-06-13,0.0
2015-06-14,2015-06-14,0.0
2015-06-15,2015-06-15,0.0
2015-06-16,2015-06-16,0.0
2015-06-17,2015-06-17,0.05
2015-06-18,2015-06-18,0.18
2015-06-19,2015-06-19,0.0
2015-06-20,2015-06-20,0.0
2015-06-21,2015-06-21,0.0
2015-06-22,2015-06-22,0.0
2015-06-23,2015-06-23,0.05
2015-06-24,2015-06-24,0.0
2015-06-25,2015-06-25,0.14
2015-06-26,2015-06-26,0.0
2015-06-27,2015-06-27,0.0
2015-06-29,2015-06-29,
2015-06-30,2015-06-30,0.0
2016-06-01,2016-06-01,0.38
2016-06-02,2016-06-02,0.03
2016-06-03,2016-06-03,0.47
2016-06-04,2016-06-04,0.02
2016-06-05,2016-06-05,0.14
2016-06-06,2016-06-06,0.17
2016-06-07,2016-06-07,0.07
2016-06-08,2016-06-08,0.0
2016-06-09,2016-06-09,0.15
2016-06-10,2016-06-10,0.23
2016-06-11,2016-06-11,0.0
2016-06-12,2016-06-12,0.12
2016-06-13,2016-06-13,0.1
2016-06-14,2016-06-14,0.0
2016-06-15,2016-06-15,0.25
2016-06-17,2016-06-17,
2016-06-18,2016-06-18,0.0
2016-06-19,2016-06-19,0.06
2016-06-20,2016-06-20,0.03
2016-06-21,2016-06-21,0.03
2016-06-22,2016-06-22,0.0
2016-06-23,2016-06-23,0.0
2016-06-24,2016-06-24,0.0
2016-06-25,2016-06-25,0.21
2016-06-26,2016-06-26,0.0
2016-06-27,2016-06-27,0.0
2016-06-28,2016-06-28,0.0
2016-06-29,2016-06-29,0.0
2016-06-30,2016-06-30,0.0
2017-06-01,2017-06-01,0.0
2017-06-02,2017-06-02,0.0
2017-06-03,2017-06-03,0.15
2017-06-04,2017-06-04,0.0
2017-06-05,2017-06-05,0.0
2017-06-06,2017-06-06,0.0
2017-06-07,2017-06-07,0.0
2017-06-08,2017-06-08,0.0
2017-06-09,2017-06-09,0.0
2017-06-10,2017-06-10,0.13
2017-06-11,2017-06-11,0.25
2017-06-12,2017-06-12,0.14
2017-06-13,2017-06-13,0.03
2017-06-14,2017-06-14,0.06
2017-06-15,2017-06-15,0.0
2017-06-16,2017-06-16,0.0
2017-06-17,2017-06-17,0.0
2017-06-18,2017-06-18,0.0
2017-06-19,2017-06-19,0.01
2017-06-21,2017-06-21,
2017-06-22,2017-06-22,0.0
2017-06-23,2017-06-23,0.05
2017-06-24,2017-06-24,0.0
2017-06-25,2017-06-25,0.0
2017-06-26,2017-06-26,0.0
2017-06-27,2017-06-27,0.0
2017-06-28,2017-06-28,0.0
2017-06-29,2017-06-29,0.0
2017-06-30,2017-06-30,0.07
2010-06-01,2010-06-01,0.0
2010-06-02,2010-06-02,0.03
2010-06-03,2010-06-03,0.0
2010-06-04,2010-06-04,0.0
2010-06-05,2010-06-05,0.0
2010-06-06,2010-06-06,0.0
2010-06-07,2010-06-07,0.12
2010-06-08,2010-06-08,0.0
2010-06-09,2010-06-09,0.0
2010-06-10,2010-06-10,0.0
2010-06-11,2010-06-11,0.0
2010-06-12,2010-06-12,0.0
2010-06-13,2010-06-13,0.04
2010-06-14,2010-06-14,0.06
2010-06-15,2010-06-15,0.11
2010-06-16,2010-06-16,0.0
2010-06-17,2010-06-17,0.02
2010-06-18,2010-06-18,0.19
2010-06-19,2010-06-19,0.33
2010-06-20,2010-06-20,0.0
2010-06-21,2010-06-21,0.0
2010-06-22,2010-06-22,0.0
2010-06-23,2010-06-23,0.02
2010-06-24,2010-06-24,0.07
2010-06-25,2010-06-25,0.09
2010-06-26,2010-06-26,0.41
2010-06-27,2010-06-27,0.05
2010-06-28,2010-06-28,0.0
2010-06-29,2010-06-29,0.05
2010-06-30,2010-06-30,0.0
2011-06-01,2011-06-01,0.22
2011-06-02,2011-06-02,0.42
2011-06-03,2011-06-03,0.33
2011-06-08,2011-06-08,0.03
2011-06-09,2011-06-09,0.05
2011-06-10,2011-06-10,0.03
2011-06-11,2011-06-11,0.03
2011-06-12,2011-06-12,0.32
2011-06-13,2011-06-13,0.05
2011-06-14,2011-06-14,0.16
2011-06-15,2011-06-15,0.0
2011-06-16,2011-06-16,0.06
2011-06-17,2011-06-17,0.03
2011-06-18,2011-06-18,0.01
2011-06-19,2011-06-19,0.14
2011-06-20,2011-06-20,0.05
2011-06-21,2011-06-21,0.57
2011-06-22,2011-06-22,0.61
2011-06-23,2011-06-23,0.06
2011-06-24,2011-06-24,0.81
2011-06-25,2011-06-25,0.01
2011-06-26,2011-06-26,0.11
2011-06-27,2011-06-27,0.09
2011-06-28,2011-06-28,0.12
2011-06-29,2011-06-29,0.08
2011-06-30,2011-06-30,0.03
2012-06-01,2012-06-01,0.02
2012-06-02,2012-06-02,0.08
2012-06-03,2012-06-03,0.0
2012-06-04,2012-06-04,0.0
2012-06-05,2012-06-05,0.0
2012-06-06,2012-06-06,0.1
2012-06-07,2012-06-07,0.07
2012-06-08,2012-06-08,0.01
2012-06-09,2012-06-09,0.0
2012-06-10,2012-06-10,0.0
2012-06-11,2012-06-11,0.11
2012-06-12,2012-06-12,0.16
2012-06-13,2012-06-13,0.07
2012-06-14,2012-06-14,0.21
2012-06-15,2012-06-15,0.0
2012-06-16,2012-06-16,0.0
2012-06-17,2012-06-17,0.02
2012-06-18,2012-06-18,0.0
2012-06-19,2012-06-19,0.02
2012-06-20,2012-06-20,0.33
2012-06-21,2012-06-21,0.26
2012-06-22,2012-06-22,0.03
2012-06-23,2012-06-23,0.35
2012-06-24,2012-06-24,0.14
2012-06-25,2012-06-25,0.13
2012-06-26,2012-06-26,0.22
2012-06-27,2012-06-27,0.43
2012-06-28,2012-06-28,0.01
2012-06-29,2012-06-29,0.14
2012-06-30,2012-06-30,0.01
2013-06-01,2013-06-01,0.06
2013-06-02,2013-06-02,0.17
2013-06-03,2013-06-03,0.08
2013-06-04,2013-06-04,0.0
2013-06-05,2013-06-05,0.0
2013-06-06,2013-06-06,0.0
2013-06-07,2013-06-07,0.0
2013-06-08,2013-06-08,0.0
2013-06-09,2013-06-09,0.0
2013-06-10,2013-06-10,0.01
2013-06-11,2013-06-11,0.02
2013-06-12,2013-06-12,0.0
2013-06-13,2013-06-13,0.1
2013-06-14,2013-06-14,0.16
2013-06-15,2013-06-15,0.1
2013-06-16,2013-06-16,0.03
2013-06-17,2013-06-17,0.05
2013-06-18,2013-06-18,0.04
2013-06-19,2013-06-19,0.01
2013-06-20,2013-06-20,0.02
2013-06-21,2013-06-21,0.53
2013-06-22,2013-06-22,0.88
2013-06-23,2013-06-23,0.03
2013-06-24,2013-06-24,0.22
2013-06-25,2013-06-25,0.36
2013-06-26,2013-06-26,0.82
2013-06-27,2013-06-27,0.07
2013-06-28,2013-06-28,0.04
2013-06-29,2013-06-29,0.43
2013-06-30,2013-06-30,0.71
2014-06-01,2014-06-01,0.07
2014-06-02,2014-06-02,0.06
2014-06-03,2014-06-03,0.0
2014-06-04,2014-06-04,0.01
2014-06-05,2014-06-05,0.01
2014-06-06,2014-06-06,0.19
2014-06-07,2014-06-07,0.2
2014-06-08,2014-06-08,0.18
2014-06-09,2014-06-09,0.04
2014-06-10,2014-06-10,0.22
2014-06-11,2014-06-11,0.37
2014-06-12,2014-06-12,0.02
2014-06-13,2014-06-13,0.0
2014-06-14,2014-06-14,0.02
2014-06-15,2014-06-15,0.02
2014-06-16,2014-06-16,0.03
2014-06-17,2014-06-17,0.29
2014-06-18,2014-06-18,0.17
2014-06-19,2014-06-19,0.04
2014-06-20,2014-06-20,0.16
2014-06-21,2014-06-21,0.22
2014-06-22,2014-06-22,0.04
2014-06-23,2014-06-23,0.31
2014-06-24,2014-06-24,0.08
2014-06-25,2014-06-25,0.23
2014-06-26,2014-06-26,0.31
2014-06-27,2014-06-27,0.12
2014-06-28,2014-06-28,0.6
2014-06-29,2014-06-29,0.48
2014-06-30,2014-06-30,0.01
2015-06-01,2015-06-01,0.46
2015-06-02,2015-06-02,0.02
2015-06-03,2015-06-03,0.0
2015-06-04,2015-06-04,1.24
2015-06-05,2015-06-05,0.06
2015-06-06,2015-06-06,0.0
2015-06-07,2015-06-07,0.07
2015-06-08,2015-06-08,0.01
2015-06-09,2015-06-09,0.34
2015-06-10,2015-06-10,0.03
2015-06-11,2015-06-11,0.03
2015-06-12,2015-06-12,0.08
2015-06-13,2015-06-13,0.01
2015-06-14,2015-06-14,0.05
2015-06-15,2015-06-15,0.03
2015-06-16,2015-06-16,0.01
2015-06-17,2015-06-17,0.15
2015-06-18,2015-06-18,0.45
2015-06-19,2015-06-19,0.19
2015-06-20,2015-06-20,0.13
2015-06-21,2015-06-21,0.05
2015-06-22,2015-06-22,0.05
2015-06-23,2015-06-23,0.03
2015-06-24,2015-06-24,0.17
2015-06-25,2015-06-25,0.21
2015-06-26,2015-06-26,0.02
2015-06-27,2015-06-27,0.21
2015-06-28,2015-06-28,0.02
2015-06-29,2015-06-29,0.27
2015-06-30,2015-06-30,0.16
2016-06-01,2016-06-01,1.39
2016-06-02,2016-06-02,0.5
2016-06-03,2016-06-03,0.02
2016-06-04,2016-06-04,0.0
2016-06-05,2016-06-05,0.22
2016-06-06,2016-06-06,0.52
2016-06-07,2016-06-07,0.35
2016-06-08,2016-06-08,0.0
2016-06-09,2016-06-09,0.29
2016-06-10,2016-06-10,0.62
2016-06-11,2016-06-11,0.13
2016-06-12,2016-06-12,0.28
2016-06-13,2016-06-13,0.02
2016-06-14,2016-06-14,0.2
2016-06-15,2016-06-15,0.68
2016-06-16,2016-06-16,0.05
2016-06-17,2016-06-17,0.29
2016-06-18,2016-06-18,0.4
2016-06-19,2016-06-19,0.05
2016-06-20,2016-06-20,0.4
2016-06-21,2016-06-21,0.04
2016-06-22,2016-06-22,0.13
2016-06-23,2016-06-23,0.39
2016-06-24,2016-06-24,0.12
2016-06-25,2016-06-25,0.75
2016-06-26,2016-06-26,0.03
2016-06-27,2016-06-27,0.37
2016-06-28,2016-06-28,0.23
2016-06-29,2016-06-29,0.1
2016-06-30,2016-06-30,0.01
2017-06-01,2017-06-01,0.0
2017-06-02,2017-06-02,0.09
2017-06-03,2017-06-03,0.08
2017-06-04,2017-06-04,0.13
2017-06-05,2017-06-05,0.05
2017-06-06,2017-06-06,0.0
2017-06-07,2017-06-07,0.0
2017-06-08,2017-06-08,0.0
2017-06-09,2017-06-09,0.02
2017-06-10,2017-06-10,0.62
2017-06-11,2017-06-11,0.74
2017-06-12,2017-06-12,0.24
2017-06-13,2017-06-13,0.24
2017-06-14,2017-06-14,0.22
2017-06-15,2017-06-15,0.55
2017-06-16,2017-06-16,0.06
2017-06-17,2017-06-17,0.07
2017-06-18,2017-06-18,0.24
2017-06-19,2017-06-19,0.08
2017-06-20,2017-06-20,0.0
2017-06-21,2017-06-21,0.19
2017-06-22,2017-06-22,0.06
2017-06-23,2017-06-23,0.12
2017-06-24,2017-06-24,0.36
2017-06-25,2017-06-25,0.02
2017-06-26,2017-06-26,0.06
2017-06-27,2017-06-27,0.01
2017-06-28,2017-06-28,0.0
2017-06-29,2017-06-29,0.0
2017-06-30,2017-06-30,0.01
2010-06-01,2010-06-01,0.0
2010-06-02,2010-06-02,0.0
2010-06-03,2010-06-03,0.0
2010-06-04,2010-06-04,0.0
2010-06-05,2010-06-05,0.0
2010-06-06,2010-06-06,0.0
2010-06-07,2010-06-07,0.05
2010-06-08,2010-06-08,0.0
2010-06-09,2010-06-09,0.0
2010-06-10,2010-06-10,0.0
2010-06-11,2010-06-11,0.0
2010-06-12,2010-06-12,0.0
2010-06-14,2010-06-14,0.0
2010-06-15,2010-06-15,0.0
2010-06-16,2010-06-16,0.0
2010-06-17,2010-06-17,0.0
2010-06-18,2010-06-18,0.04
2010-06-19,2010-06-19,0.05
2010-06-20,2010-06-20,0.0
2010-06-21,2010-06-21,0.0
2010-06-22,2010-06-22,0.0
2010-06-23,2010-06-23,0.0
2010-06-24,2010-06-24,0.0
2010-06-25,2010-06-25,0.02
2010-06-26,2010-06-26,0.0
2010-06-27,2010-06-27,0.09
2010-06-28,2010-06-28,0.0
2010-06-29,2010-06-29,0.02
2010-06-30,2010-06-30,0.03
2011-06-01,2011-06-01,0.02
2011-06-02,2011-06-02,0.0
2011-06-03,2011-06-03,0.03
2011-06-04,2011-06-04,0.58
2011-06-05,2011-06-05,0.02
2011-06-06,2011-06-06,0.0
2011-06-07,2011-06-07,0.0
2011-06-08,2011-06-08,0.1
2011-06-09,2011-06-09,0.0
2011-06-10,2011-06-10,0.0
2011-06-11,2011-06-11,0.0
2011-06-12,2011-06-12,0.02
2011-06-13,2011-06-13,0.0
2011-06-14,2011-06-14,0.0
2011-06-15,2011-06-15,0.0
2011-06-16,2011-06-16,0.01
2011-06-17,2011-06-17,0.0
2011-06-18,2011-06-18,0.0
2011-06-19,2011-06-19,0.0
2011-06-20,2011-06-20,0.01
2011-06-21,2011-06-21,0.03
2011-06-22,2011-06-22,0.1
2011-06-23,2011-06-23,0.01
2011-06-24,2011-06-24,0.0
2011-06-25,2011-06-25,0.0
2011-06-26,2011-06-26,0.0
2011-06-27,2011-06-27,0.0
2011-06-28,2011-06-28,0.0
2011-06-29,2011-06-29,0.0
2011-06-30,2011-06-30,0.0
2012-06-01,2012-06-01,0.01
2012-06-02,2012-06-02,0.02
2012-06-03,2012-06-03,0.0
2012-06-04,2012-06-04,0.0
2012-06-05,2012-06-05,0.0
2012-06-06,2012-06-06,0.01
2012-06-07,2012-06-07,0.0
2012-06-08,2012-06-08,0.0
2012-06-09,2012-06-09,0.0
2012-06-10,2012-06-10,0.0
2012-06-11,2012-06-11,0.0
2012-06-12,2012-06-12,0.0
2012-06-13,2012-06-13,0.03
2012-06-14,2012-06-14,0.0
2012-06-16,2012-06-16,
2012-06-17,2012-06-17,0.0
2012-06-18,2012-06-18,0.0
2012-06-19,2012-06-19,0.0
2012-06-20,2012-06-20,0.02
2012-06-21,2012-06-21,0.0
2012-06-22,2012-06-22,0.0
2012-06-23,2012-06-23,0.1
2012-06-24,2012-06-24,0.0
2012-06-25,2012-06-25,0.01
2012-06-26,2012-06-26,0.0
2012-06-27,2012-06-27,0.01
2012-06-28,2012-06-28,0.0
2012-06-29,2012-06-29,0.0
2012-06-30,2012-06-30,0.0
2013-06-01,2013-06-01,0.0
2013-06-02,2013-06-02,0.0
2013-06-03,2013-06-03,0.0
2013-06-04,2013-06-04,0.0
2013-06-05,2013-06-05,0.0
2013-06-06,2013-06-06,0.0
2013-06-07,2013-06-07,0.0
2013-06-08,2013-06-08,0.0
2013-06-09,2013-06-09,0.0
2013-06-10,2013-06-10,0.0
2013-06-11,2013-06-11,0.0
2013-06-12,2013-06-12,0.0
2013-06-13,2013-06-13,0.0
2013-06-14,2013-06-14,0.07
2013-06-15,2013-06-15,0.0
2013-06-16,2013-06-16,0.0
2013-06-17,2013-06-17,0.0
2013-06-18,2013-06-18,0.0
2013-06-19,2013-06-19,0.0
2013-06-20,2013-06-20,0.0
2013-06-21,2013-06-21,0.05
2013-06-22,2013-06-22,0.0
2013-06-23,2013-06-23,0.0
2013-06-24,2013-06-24,0.0
2013-06-25,2013-06-25,0.02
2013-06-26,2013-06-26,0.06
2013-06-27,2013-06-27,0.0
2013-06-28,2013-06-28,0.0
2013-06-29,2013-06-29,0.08
2013-06-30,2013-06-30,0.0
2014-06-01,2014-06-01,0.0
2014-06-02,2014-06-02,0.0
2014-06-03,2014-06-03,0.0
2014-06-04,2014-06-04,0.0
2014-06-06,2014-06-06,
2014-06-07,2014-06-07,0.0
2014-06-08,2014-06-08,0.0
2014-06-09,2014-06-09,0.0
2014-06-10,2014-06-10,0.0
2014-06-11,2014-06-11,0.0
2014-06-12,2014-06-12,0.0
2014-06-13,2014-06-13,0.0
2014-06-14,2014-06-14,0.0
2014-06-15,2014-06-15,0.0
2014-06-16,2014-06-16,0.0
2014-06-17,2014-06-17,0.17
2014-06-18,2014-06-18,0.01
2014-06-19,2014-06-19,0.0
2014-06-20,2014-06-20,0.03
2014-06-21,2014-06-21,0.0
2014-06-22,2014-06-22,0.0
2014-06-23,2014-06-23,0.05
2014-06-24,2014-06-24,0.05
2014-06-25,2014-06-25,0.05
2014-06-26,2014-06-26,0.03
2014-06-27,2014-06-27,0.02
2014-06-29,2014-06-29,0.05
2014-06-30,2014-06-30,0.0
2015-06-01,2015-06-01,0.01
2015-06-02,2015-06-02,0.0
2015-06-03,2015-06-03,0.0
2015-06-04,2015-06-04,0.0
2015-06-05,2015-06-05,0.0
2015-06-08,2015-06-08,
2015-06-09,2015-06-09,0.0
2015-06-11,2015-06-11,
2015-06-12,2015-06-12,0.0
2015-06-15,2015-06-15,
2015-06-16,2015-06-16,0.2
2015-06-17,2015-06-17,0.0
2015-06-18,2015-06-18,0.0
2015-06-19,2015-06-19,0.0
2015-06-22,2015-06-22,
2015-06-23,2015-06-23,0.0
2015-06-24,2015-06-24,0.0
2015-06-25,2015-06-25,0.01
2015-06-26,2015-06-26,0.01
2010-06-01,2010-06-01,0.08
2010-06-02,2010-06-02,0.0
2010-06-03,2010-06-03,0.1
2010-06-04,2010-06-04,0.01
2010-06-05,2010-06-05,0.09
2010-06-06,2010-06-06,0.13
2010-06-07,2010-06-07,0.44
2010-06-08,2010-06-08,0.27
2010-06-09,2010-06-09,0.0
2010-06-14,2010-06-14,
2010-06-16,2010-06-16,
2010-06-17,2010-06-17,0.05
2010-06-19,2010-06-19,
2010-06-22,2010-06-22,
2010-06-23,2010-06-23,0.04
2010-06-24,2010-06-24,0.26
2010-06-25,2010-06-25,0.79
2010-06-26,2010-06-26,0.88
2010-06-27,2010-06-27,0.37
2010-06-28,2010-06-28,0.16
2010-06-29,2010-06-29,0.02
2010-06-30,2010-06-30,0.71
2011-06-01,2011-06-01,0.61
2011-06-02,2011-06-02,0.22
2011-06-03,2011-06-03,2.0
2011-06-04,2011-06-04,2.45
2011-06-05,2011-06-05,0.76
2011-06-06,2011-06-06,0.1
2011-06-07,2011-06-07,0.19
2011-06-08,2011-06-08,0.23
2011-06-09,2011-06-09,0.1
2011-06-10,2011-06-10,0.11
2011-06-11,2011-06-11,0.17
2011-06-12,2011-06-12,1.5
2011-06-13,2011-06-13,0.41
2011-06-14,2011-06-14,0.14
2011-06-15,2011-06-15,0.01
2011-06-16,2011-06-16,0.83
2011-06-17,2011-06-17,0.18
2011-06-18,2011-06-18,0.07
2011-06-19,2011-06-19,1.84
2011-06-20,2011-06-20,0.91
2011-06-21,2011-06-21,1.03
2011-06-22,2011-06-22,1.65
2011-06-23,2011-06-23,0.68
2011-06-24,2011-06-24,1.16
2011-06-25,2011-06-25,0.06
2011-06-26,2011-06-26,0.29
2011-06-27,2011-06-27,0.98
2011-06-28,2011-06-28,0.25
2011-06-29,2011-06-29,0.06
2011-06-30,2011-06-30,0.0
2012-06-01,2012-06-01,0.26
2012-06-02,2012-06-02,0.22
2012-06-03,2012-06-03,0.0
2012-06-04,2012-06-04,0.02
2012-06-05,2012-06-05,0.0
2012-06-06,2012-06-06,0.72
2012-06-07,2012-06-07,0.12
2012-06-08,2012-06-08,0.3
2012-06-09,2012-06-09,0.0
2012-06-10,2012-06-10,0.08
2012-06-11,2012-06-11,0.08
2012-06-12,2012-06-12,0.14
2012-06-13,2012-06-13,0.48
2012-06-14,2012-06-14,0.21
2012-06-15,2012-06-15,0.0
2012-06-16,2012-06-16,0.0
2012-06-17,2012-06-17,0.1
2012-06-18,2012-06-18,0.0
2012-06-19,2012-06-19,0.38
2012-06-20,2012-06-20,1.84
2012-06-21,2012-06-21,0.34
2012-06-23,2012-06-23,0.94
2012-06-24,2012-06-24,1.13
2012-06-25,2012-06-25,0.89
2012-06-26,2012-06-26,0.92
2012-06-27,2012-06-27,0.73
2012-06-28,2012-06-28,0.37
2012-06-29,2012-06-29,0.79
2013-06-01,2013-06-01,0.71
2013-06-02,2013-06-02,0.81
2013-06-03,2013-06-03,0.49
2013-06-04,2013-06-04,0.03
2013-06-05,2013-06-05,0.0
2013-06-06,2013-06-06,0.14
2013-06-07,2013-06-07,0.07
2013-06-08,2013-06-08,0.08
2013-06-09,2013-06-09,0.02
2013-06-10,2013-06-10,0.02
2013-06-11,2013-06-11,0.05
2013-06-12,2013-06-12,0.28
2013-06-13,2013-06-13,0.47
2013-06-14,2013-06-14,2.56
2013-06-15,2013-06-15,0.11
2013-06-16,2013-06-16,0.3
